Word,Entity
That,o
sounds,o
great,o
!,o
,
No,o
",",o
that,o
will,o
be,o
all,o
.,o
Thank,o
you,o
very,o
much,o
!,o
,
I,o
want,o
to,o
go,o
to,o
the,o
cinema,o
.,o
,
I,o
'm,o
in,o
Livermore,B-location
.,o
,
Captain,B-movie_name
Marvel,I-movie_name
is,o
perfect,o
.,o
,
No,o
",",o
not,o
right,o
now,o
.,o
I,o
want,o
to,o
watch,o
it,o
on,o
Tuesday,B-show_date
next,I-show_date
week,I-show_date
",",o
at,o
Livermore,B-theater_name
Cinema,I-theater_name
.,o
,
How,o
much,o
is,o
the,o
ticket,o
?,o
And,o
what,o
's,o
the,o
address,o
of,o
the,o
theater,o
?,o
,
Sounds,o
good,o
.,o
That,o
's,o
everything,o
for,o
now,o
.,o
,
I,o
really,o
want,o
to,o
find,o
a,o
movie,o
to,o
watch,o
.,o
I,o
was,o
thinking,o
we,o
could,o
go,o
to,o
an,o
imax,B-show_type
show,o
.,o
,
What,o
movies,o
are,o
showing,o
in,o
Fremont,B-location
?,o
,
Are,o
there,o
any,o
other,o
movies,o
playing,o
?,o
,
Shazam,B-movie_name
!,I-movie_name
sounds,o
great,o
.,o
What,o
time,o
is,o
it,o
showing,o
on,o
the,o
8th,B-show_date
of,I-show_date
March,I-show_date
?,o
,
What,o
genre,o
is,o
it,o
and,o
how,o
much,o
are,o
tickets,o
?,o
,
Great,o
",",o
thank,o
you,o
!,o
,
I,o
want,o
to,o
find,o
a,o
movie,o
to,o
wathc,o
,
can,o
you,o
search,o
for,o
movies,o
shown,o
in,o
San,B-location
Jose.i,o
like,o
Adventure,B-genre
movies,o
.,o
,
please,o
find,o
some,o
other,o
movies,o
.,o
,
I,o
like,o
Documentary,B-genre
movies,o
.,o
could,o
you,o
try,o
again,o
?,o
,
Can,o
you,o
search,o
for,o
moveis,o
shown,o
SFO,B-location
.,o
I,o
want,o
to,o
watch,o
at,o
Roxie,B-theater_name
Theater,I-theater_name
.,o
Please,o
find,o
some,o
other,o
movies,o
.,o
,
Jt,B-movie_name
Leroy,I-movie_name
is,o
perfect,o
.,o
,
What,o
time,o
can,o
I,o
watch,o
it,o
?,o
,
I,o
want,o
to,o
watch,o
a,o
regular,B-show_type
show,o
.,o
I,o
want,o
to,o
want,o
it,o
on,o
3rd,B-show_date
of,I-show_date
this,I-show_date
month,I-show_date
.,o
,
How,o
much,o
is,o
the,o
ticket,o
?,o
What,o
's,o
the,o
address,o
of,o
the,o
theater,o
?,o
,
Sounds,o
good,o
.,o
,
No,o
",",o
I,o
do,o
n't,o
want,o
to,o
purchase,o
now,o
.,o
,
No,o
.,o
thank,o
you,o
for,o
your,o
help,o
.,o
,
Hey,o
",",o
I,o
'm,o
looking,o
for,o
a,o
movie,o
to,o
watch,o
in,o
Oakland,B-location
.,o
Is,o
there,o
anything,o
available,o
?,o
,
Please,o
find,o
some,o
different,o
movies,o
.,o
Any,o
showing,o
is,o
fine,o
.,o
,
No,o
",",o
is,o
there,o
anything,o
else,o
?,o
,
Red,B-movie_name
Joan,I-movie_name
is,o
great,o
.,o
When,o
is,o
it,o
showing,o
?,o
,
March,B-show_date
7th,I-show_date
",",o
please,o
.,o
,
What,o
genre,o
is,o
it,o
?,o
How,o
much,o
does,o
it,o
cost,o
?,o
,
Sounds,o
perfect,o
.,o
That,o
's,o
all,o
thanks,o
.,o
,
I,o
want,o
to,o
watch,o
a,o
movie,o
",",o
where,o
is,o
the,o
best,o
place,o
to,o
watch,o
?,o
,
I,o
'm,o
currently,o
looking,o
at,o
the,o
Embarcadero,B-theater_name
Center,I-theater_name
Cinema,I-theater_name
.,o
I,o
want,o
to,o
watch,o
a,o
movie,o
on,o
a,o
big,o
imax,B-show_type
screen,o
.,o
Can,o
you,o
find,o
some,o
good,o
movies,o
in,o
the,o
San,B-location
Francisco,I-location
area,o
?,o
,
Yeah,o
",",o
Knock,B-movie_name
Down,I-movie_name
The,I-movie_name
House,I-movie_name
sounds,o
good,o
.,o
When,o
does,o
this,o
movie,o
start,o
?,o
I,o
want,o
to,o
go,o
see,o
it,o
on,o
the,o
8th,B-show_date
of,I-show_date
March,I-show_date
.,o
,
Yeah,o
that,o
will,o
work,o
thanks,o
.,o
,
I,o
need,o
to,o
find,o
a,o
movie,o
to,o
watch,o
at,o
Roxie,B-theater_name
Theater,I-theater_name
.,o
,
Can,o
you,o
find,o
a,o
movie,o
shown,o
in,o
SFO,B-location
.,o
,
Penguin,B-movie_name
Highway,I-movie_name
is,o
good,o
and,o
at,o
what,o
time,o
can,o
i,o
watch,o
it,o
?,o
,
I,o
like,o
to,o
watch,o
it,o
on,o
9th,B-show_date
of,I-show_date
this,I-show_date
month,I-show_date
.,o
,
What,o
is,o
the,o
location,o
of,o
the,o
theater,o
?,o
,
What,o
is,o
the,o
cost,o
for,o
the,o
ticket,o
?,o
,
sounds,o
cool,o
.,o
,
No,o
",",o
i,o
do,o
n't,o
want,o
to,o
buy,o
it,o
now,o
.,o
,
No,o
",",o
thanks,o
a,o
lot,o
for,o
your,o
help,o
.,o
,
I,o
'm,o
searching,o
for,o
a,o
movie,o
to,o
watch,o
at,o
Livermore,B-theater_name
Cinema,I-theater_name
.,o
,
Are,o
you,o
able,o
to,o
find,o
movies,o
playing,o
at,o
Livermore,B-location
?,o
,
After,B-movie_name
sounds,o
great,o
!,o
I,o
plan,o
on,o
watching,o
it,o
on,o
the,o
2nd,B-show_date
of,I-show_date
this,I-show_date
month,I-show_date
.,o
Can,o
you,o
tell,o
me,o
what,o
time,o
is,o
the,o
showing,o
?,o
,
That,o
sounds,o
just,o
fine,o
.,o
,
Not,o
right,o
now,o
",",o
thanks,o
.,o
I,o
'm,o
all,o
set,o
.,o
,
Could,o
you,o
help,o
me,o
finding,o
a,o
movie,o
to,o
watch,o
in,o
Union,B-location
City,I-location
",",o
please,o
?,o
,
could,o
you,o
please,o
find,o
me,o
something,o
else,o
",",o
like,o
a,o
scary,B-genre
movie,o
at,o
Century,B-theater_name
Union,I-theater_name
Landing,I-theater_name
?,o
,
Curse,B-movie_name
of,I-movie_name
La,I-movie_name
Llorona,I-movie_name
is,o
perfect,o
.,o
What,o
time,o
can,o
I,o
watch,o
a,o
imax,B-show_type
on,o
the,B-show_date
7th,I-show_date
,
Perfect,o
",",o
that,o
's,o
all,o
I,o
needed,o
,
I,o
feel,o
like,o
seeing,o
a,o
movie,o
.,o
,
Find,o
me,o
a,o
good,o
flick,o
in,o
SFO,B-location
.,o
,
Nah,o
.,o
Find,o
me,o
something,o
regular,B-show_type
.,o
,
Keep,o
going,o
.,o
I,o
'm,o
flexible,o
.,o
,
Lets,o
go,o
with,o
Say,B-movie_name
Anything,I-movie_name
.,o
,
On,o
March,B-show_date
1st,I-show_date
.,o
,
Any,o
other,o
times,o
.,o
,
No,o
thank,o
you,o
.,o
,
I,o
am,o
meeting,o
up,o
with,o
a,o
friend,o
and,o
we,o
want,o
to,o
watch,o
a,o
good,o
movie,o
.,o
Do,o
you,o
have,o
any,o
suggestions,o
?,o
,
I,o
am,o
in,o
Brentwood,B-location
",",o
there,o
are,o
a,o
few,o
theaters,o
.,o
What,o
movies,o
are,o
around,o
here,o
?,o
,
I,o
do,o
n't,o
like,o
those,o
options,o
.,o
Show,o
me,o
imax,B-show_type
shows,o
.,o
,
Shazam,B-movie_name
!,I-movie_name
sounds,o
good,o
",",o
the,o
trailer,o
looked,o
cool,o
.,o
,
No,o
I,o
do,o
n't,o
want,o
to,o
buy,o
them,o
now,o
.,o
What,o
are,o
the,o
showtimes,o
at,o
theaters,o
?,o
,
CineLux,o
Delta,o
Cinema,o
Saver,o
is,o
the,o
closest,o
theater,o
I,o
think,o
.,o
I,o
want,o
to,o
see,o
it,o
on,o
March,B-show_date
2nd,I-show_date
.,o
,
Sounds,o
great,o
!,o
,
No,o
that,o
is,o
all,o
I,o
needed,o
.,o
Thank,o
you,o
.,o
,
I,o
want,o
to,o
find,o
a,o
movie,o
to,o
watch,o
",",o
Can,o
you,o
search,o
for,o
the,o
movies,o
shown,o
in,o
Petaluma,B-location
?,o
,
Please,o
find,o
some,o
other,o
movies,o
.,o
,
Shazam,B-movie_name
!,I-movie_name
is,o
perfect,o
.,o
,
No,o
",",o
I,o
do,o
n't,o
want,o
to,o
purchase,o
now,o
.,o
What,o
time,o
can,o
I,o
watch,o
it,o
?,o
I,o
want,o
to,o
watch,o
a,o
3d,B-show_type
show,o
.,o
,
I,o
want,o
to,o
watch,o
is,o
on,o
March,B-show_date
4th,I-show_date
.,o
I,o
want,o
to,o
watch,o
at,o
Boulevard,B-theater_name
Cinema,I-theater_name
,
Sounds,o
good,o
.,o
That,o
is,o
all,o
I,o
need,o
.,o
,
I,o
need,o
to,o
find,o
a,o
movie,o
to,o
watch,o
in,o
Livermore,B-location
.,o
I,o
'd,o
like,o
to,o
see,o
an,o
imax,B-show_type
show,o
.,o
,
Please,o
go,o
with,o
another,o
option,o
.,o
,
Look,o
for,o
something,o
else,o
.,o
Something,o
regular,B-show_type
.,o
,
I,o
'll,o
see,o
Viva,B-movie_name
Las,I-movie_name
Vegas,I-movie_name
.,o
,
Not,o
right,o
now,o
.,o
When,o
is,o
it,o
showing,o
at,o
Vine,B-theater_name
Cinema,I-theater_name
?,o
,
I,o
'd,o
like,o
to,o
see,o
it,o
on,o
the,o
2nd,B-show_date
of,I-show_date
this,I-show_date
month,I-show_date
.,o
,
That,o
sounds,o
great,o
.,o
,
I,o
'd,o
like,o
to,o
discover,o
a,o
film,o
to,o
watch,o
.,o
Can,o
you,o
search,o
for,o
San,B-location
Bruno,I-location
shown,o
films,o
.,o
,
It,o
is,o
ideal,o
for,o
Captain,B-movie_name
Marvel,I-movie_name
.,o
,
No,o
",",o
I,o
do,o
n't,o
want,o
to,o
buy,o
now,o
.,o
,
How,o
long,o
can,o
I,o
watch,o
it,o
?,o
Every,o
theater,o
is,o
okay,o
.,o
,
I,o
'm,o
waiting,o
to,o
see,o
it,o
on,o
2nd,B-show_date
of,I-show_date
March,I-show_date
.,o
,
Sounds,o
fine,o
.,o
That,o
's,o
everything,o
I,o
need,o
.,o
,
Hi,o
",",o
there,o
!,o
Can,o
you,o
help,o
me,o
find,o
a,o
movie,o
?,o
,
I,o
live,o
in,o
Walnut,B-location
Creek,I-location
.,o
,
I,o
would,o
love,o
to,o
see,o
Captain,B-movie_name
Marvel,I-movie_name
!,o
,
Not,o
right,o
now,o
?,o
I,o
just,o
want,o
to,o
know,o
showtimes,o
on,o
March,B-show_date
2nd,I-show_date
.,o
,
That,o
's,o
great,o
!,o
Thanks,o
for,o
your,o
help,o
!,o
,
Hi,o
.,o
I,o
want,o
to,o
find,o
a,o
comedy,B-genre
movie,o
to,o
watch,o
at,o
Century,B-theater_name
Oakridge,I-theater_name
.,o
Can,o
you,o
help,o
me,o
with,o
that,o
?,o
,
I,o
'm,o
in,o
San,B-location
Jose,I-location
.,o
,
Little,B-movie_name
sounds,o
perfect,o
.,o
,
No,o
",",o
I,o
do,o
n't,o
want,o
to,o
purchase,o
tickets,o
now,o
.,o
But,o
can,o
you,o
tell,o
me,o
when,o
I,o
can,o
see,o
it,o
?,o
I,o
want,o
to,o
see,o
it,o
in,o
3d,B-show_type
next,B-show_date
Tuesday,I-show_date
.,o
,
Perfect,o
.,o
,
No,o
",",o
thank,o
you,o
!,o
,
What,o
movies,o
are,o
showing,o
in,o
San,B-location
Jose,I-location
?,o
I,o
really,o
want,o
to,o
go,o
see,o
a,o
movie,o
.,o
,
I,o
'm,o
not,o
sure,o
I,o
would,o
like,o
any,o
of,o
those,o
.,o
What,o
else,o
is,o
showing,o
?,o
,
Nah,o
",",o
those,o
are,o
n't,o
what,o
I,o
'm,o
looking,o
for,o
.,o
What,o
imax,B-show_type
shows,o
are,o
out,o
?,o
,
Yes,o
",",o
Long,B-movie_name
Shot,I-movie_name
would,o
actually,o
be,o
perfect,o
.,o
I,o
forgot,o
that,o
was,o
out,o
.,o
What,o
time,o
is,o
it,o
showing,o
?,o
,
Oh,o
",",o
sorry,o
.,o
I,o
would,o
like,o
to,o
see,o
it,o
on,o
the,o
9th,B-show_date
of,I-show_date
March,I-show_date
.,o
,
That,o
will,o
work,o
for,o
me,o
.,o
,
No,o
",",o
I,o
will,o
have,o
to,o
get,o
the,o
tickets,o
later,o
.,o
I,o
might,o
have,o
to,o
do,o
something,o
with,o
my,o
brother,o
that,o
day,o
.,o
,
No,o
",",o
that,o
's,o
all,o
I,o
need,o
.,o
Thanks,o
for,o
your,o
help,o
!,o
,
I,o
am,o
looking,o
for,o
a,o
movie,o
that,o
I,o
can,o
enjoy,o
tonight,o
.,o
,
I,o
'm,o
in,o
Union,B-location
City,I-location
",",o
can,o
you,o
suggest,o
any,o
movies,o
there,o
?,o
,
I,o
'm,o
not,o
really,o
into,o
those,o
",",o
do,o
you,o
know,o
any,o
other,o
good,o
ones,o
?,o
,
Those,o
do,o
n't,o
sound,o
like,o
my,o
type,o
of,o
movies,o
either,o
",",o
do,o
you,o
know,o
of,o
any,o
others,o
?,o
,
Little,B-movie_name
sounds,o
like,o
a,o
good,o
movie,o
",",o
I,o
've,o
seen,o
the,o
previews,o
.,o
,
Not,o
right,o
now,o
",",o
do,o
you,o
know,o
what,o
times,o
it,o
is,o
available,o
?,o
,
I,o
want,o
to,o
watch,o
a,o
regular,B-show_type
showing,o
on,o
the,B-show_date
5th,I-show_date
.,o
,
Thank,o
you,o
.,o
Sounds,o
good,o
.,o
,
Nope,o
",",o
you,o
've,o
been,o
great,o
",",o
thanks,o
for,o
your,o
help,o
.,o
,
I,o
want,o
to,o
watch,o
a,o
movie,o
.,o
,
Can,o
you,o
show,o
me,o
movies,o
shown,o
in,o
Morgan,B-location
Hill,I-location
.,o
,
Breakthrough,B-movie_name
sounds,o
awesome,o
.,o
,
No,o
",",o
I,o
want,o
to,o
watch,o
it,o
on,o
Sunday,B-show_date
this,I-show_date
week,I-show_date
.,o
What,o
times,o
is,o
it,o
showing,o
?,o
,
What,o
is,o
the,o
cost,o
of,o
the,o
ticket,o
?,o
,
What,o
type,o
of,o
movie,o
is,o
it,o
?,o
Where,o
is,o
the,o
theater,o
located,o
?,o
,
Sounds,o
good,o
.,o
,
No,o
.,o
Thank,o
you,o
for,o
your,o
help,o
.,o
,
I,o
want,o
to,o
watch,o
a,o
movie,o
in,o
Morgan,B-location
Hill,I-location
.,o
,
No,o
thanks,o
.,o
I,o
like,o
fantasy,B-genre
movies,o
.,o
Can,o
you,o
now,o
search,o
in,o
Campbell,B-location
?,o
,
Yes,o
",",o
Hellboy,B-movie_name
is,o
good,o
.,o
What,o
time,o
?,o
,
On,o
the,B-show_date
2nd,I-show_date
.,o
,
That,o
's,o
great,o
",",o
thanks,o
.,o
,
Im,o
looking,o
to,o
watch,o
a,o
movie,o
that,o
is,o
in,o
3d,B-show_type
.,o
,
I,o
want,o
to,o
watch,o
the,o
movie,o
at,o
Boulevard,B-theater_name
Cinema,I-theater_name
.,o
Can,o
you,o
find,o
movies,o
that,o
are,o
showing,o
in,o
Petaluma,B-location
?,o
I,o
enjoy,o
comedy,B-genre
movies,o
.,o
,
The,o
Missing,B-movie_name
Link,I-movie_name
is,o
perfect,o
.,o
What,o
times,o
are,o
available,o
for,o
me,o
to,o
watch,o
it,o
?,o
,
I,o
would,o
like,o
to,o
watch,o
the,B-show_date
movie,o
on,o
the,B-show_date
4th,I-show_date
.,o
,
That,o
sounds,o
good,o
.,o
,
No,o
I,o
do,o
n't,o
want,o
to,o
purchase,o
tickets,o
right,o
now,o
.,o
That,o
is,o
all,o
that,o
I,o
need,o
.,o
,
Hey,o
",",o
I,o
want,o
to,o
go,o
see,o
a,o
movie,o
.,o
Any,o
theater,o
is,o
cool,o
for,o
me,o
.,o
,
I,o
am,o
in,o
Santa,B-location
Rosa,I-location
and,o
want,o
the,o
closest,o
theater,o
.,o
What,o
movies,o
are,o
there,o
now,o
?,o
,
Are,o
there,o
any,o
other,o
movie,o
choices,o
?,o
,
Find,o
some,o
more,o
options,o
",",o
please,o
.,o
I,o
want,o
to,o
see,o
3rd,B-theater_name
Street,I-theater_name
Cinema,I-theater_name
.,o
,
Yes,o
",",o
The,B-movie_name
Upside,I-movie_name
is,o
what,o
I,o
want,o
to,o
see,o
then,o
.,o
What,o
are,o
the,o
showtimes,o
for,o
today,B-show_date
?,o
,
What,o
's,o
the,o
address,o
of,o
the,o
theater,o
?,o
What,o
sort,o
of,o
movie,o
is,o
it,o
?,o
,
OK,o
",",o
that,o
's,o
all,o
the,o
info,o
I,o
wanted,o
.,o
Thank,o
you,o
.,o
,
Can,o
you,o
find,o
me,o
a,o
movie,o
to,o
watch,o
?,o
,
Brentwood,I-theater_name
",",o
please,o
.,o
I,o
'd,o
like,o
to,o
watch,o
an,o
Adventure,B-genre
movie,o
at,o
AMC,B-theater_name
Brentwood,I-theater_name
.,o
,
Shazam,B-movie_name
sounds,o
great,o
!,o
,
Not,o
at,o
the,o
moment,o
.,o
I,o
'd,o
like,o
to,o
watch,o
an,o
imax,B-show_type
show,o
",",o
what,o
are,o
the,o
available,o
times,o
?,o
,
March,B-show_date
2nd,I-show_date
",",o
please,o
.,o
,
Sounds,o
great,o
!,o
,
No,o
",",o
thank,o
you,o
.,o
,
I,o
would,o
like,o
to,o
find,o
a,o
movie,o
to,o
watch,o
.,o
,
I,o
would,o
like,o
to,o
watch,o
a,o
regular,B-show_type
show,o
at,I-theater_name
the,o
Century,B-theater_name
at,I-theater_name
Tanforan,I-theater_name
.,o
Could,o
you,o
make,o
the,o
search,o
for,o
movies,o
in,o
San,B-location
Bruno,I-location
?,o
,
Little,B-movie_name
is,o
just,o
what,o
i,o
'm,o
looking,o
for,o
.,o
What,o
time,o
is,o
it,o
playing,o
?,o
,
The,o
5th,B-show_date
of,I-show_date
this,I-show_date
month,I-show_date
would,o
be,o
perfect,o
.,o
,
How,o
much,o
are,o
the,o
tickets,o
?,o
,
Thanks,o
",",o
sounds,o
good,o
to,o
me,o
.,o
,
No,o
",",o
i,o
'm,o
not,o
interested,o
in,o
purchasing,o
just,o
yet,o
.,o
,
No,o
",",o
that,o
is,o
all,o
.,o
Thanks,o
for,o
the,o
help,o
.,o
,
I,o
al,o
looking,o
for,o
a,o
movie,o
to,o
watch,o
.,o
,
I,o
am,o
looking,o
for,o
a,o
3d,B-show_type
suspense,B-genre
movie,o
in,o
Santa,B-location
Clara,I-location
.,o
,
Pet,B-movie_name
Sematary,I-movie_name
is,o
perfect,o
.,o
What,o
time,o
is,o
it,o
showing,o
at,o
AMC,B-theater_name
Mercado,I-theater_name
?,o
,
the,B-show_date
1st,I-show_date
please,o
.,o
,
Sounds,o
good,o
.,o
That,o
's,o
all,o
.,o
,
It,o
's,o
movie,o
night,o
!,o
I,o
'm,o
trying,o
to,o
decide,o
what,o
to,o
watch,o
.,o
Can,o
you,o
find,o
movies,o
shown,o
in,o
Sonoma,B-location
?,o
,
No,o
",",o
not,o
those,o
.,o
Please,o
find,o
some,o
other,o
titles,o
.,o
,
Yes,o
!,I-movie_name
I,o
think,o
Shazam,B-movie_name
!,I-movie_name
is,o
just,o
right,o
.,o
,
No,o
",",o
not,o
right,o
now,o
.,o
What,o
are,o
the,o
show,o
times,o
for,o
this,o
movie,o
?,o
,
I,o
'd,o
like,o
to,o
see,o
it,o
on,o
March,B-show_date
5th,I-show_date
.,o
,
Yes,o
",",o
that,o
'll,o
work,o
.,o
,
No,o
",",o
that,o
's,o
all,o
for,o
now,o
.,o
Thanks,o
for,o
your,o
help,o
.,o
,
I,o
'm,o
looking,o
for,o
a,o
movie,o
to,o
watch,o
tonight,o
.,o
My,o
favorites,o
are,o
scary,B-genre
movies,o
.,o
,
A,o
theater,o
in,o
Berkeley,B-location
would,o
be,o
most,o
convenient,o
.,o
,
The,B-movie_name
Curse,I-movie_name
of,I-movie_name
La,I-movie_name
Llorona,I-movie_name
sounds,o
like,o
a,o
movie,o
I,o
'd,o
enjoy,o
.,o
,
No,o
",",o
I,o
'm,o
not,o
ready,o
to,o
buy,o
them,o
yet,o
.,o
What,o
times,o
are,o
available,o
?,o
,
I,o
want,o
to,o
go,o
sometime,o
today,B-show_date
.,o
I,o
think,o
the,o
United,B-theater_name
Artists,I-theater_name
Berkeley,I-theater_name
would,o
be,o
the,o
closest,o
to,o
where,o
I,o
am,o
.,o
,
How,o
much,o
do,o
the,o
tickets,o
cost,o
?,o
,
That,o
sounds,o
great,o
.,o
,
No,o
",",o
I,o
appreciate,o
your,o
help,o
.,o
,
Can,o
you,o
find,o
a,o
funny,B-genre
movie,o
for,o
me,o
at,o
AMC,B-theater_name
Brentwood,I-theater_name
?,o
,
Find,o
a,o
3d,B-show_type
movie,o
in,o
Brentwood,B-location
.,o
,
Missing,B-movie_name
Link,I-movie_name
sounds,o
awesome,o
.,o
,
No,o
",",o
not,o
right,o
now,o
.,o
At,o
what,o
time,o
is,o
the,o
show,o
?,o
,
I,o
want,o
to,o
go,o
later,B-show_date
today,I-show_date
.,o
,
Is,o
there,o
another,o
show,o
time,o
?,o
I,o
want,o
to,o
watch,o
it,o
on,o
March,B-show_date
2nd,I-show_date
.,o
,
Where,o
is,o
the,o
theater,o
located,o
?,o
,
That,o
sounds,o
amazing,o
.,o
I,o
do,o
n't,o
need,o
any,o
more,o
hlep,o
.,o
,
I,o
would,o
like,o
to,o
watch,o
a,o
movie,o
.,o
,
Find,o
movies,o
in,o
Larkspur,B-location
,
Shine,B-movie_name
a,I-movie_name
Light,I-movie_name
sounds,o
good,o
.,o
,
Not,o
now,o
",",o
what,o
times,o
are,o
available,o
and,o
any,o
theatre,o
is,o
fine,o
.,o
,
1st,B-show_date
of,I-show_date
this,I-show_date
month,I-show_date
,
What,o
is,o
the,o
cost,o
and,o
type,o
of,o
movie,o
.,o
,
Thank,o
you,o
,
I,o
would,o
like,o
to,o
find,o
a,o
3d,B-show_type
movie,o
to,o
watch,o
.,o
,
Could,o
you,o
search,o
for,o
movies,o
playing,o
in,o
Union,I-theater_name
City,I-location
.,o
Preferably,o
at,o
Century,B-theater_name
Union,I-theater_name
Landing,I-theater_name
.,o
,
Could,o
you,o
find,o
some,o
other,o
movies,o
?,o
,
Pet,B-movie_name
Sematary,I-movie_name
sounds,o
good,o
.,o
,
No,o
",",o
I,o
do,o
n't,o
want,o
to,o
buy,o
tickets,o
now,o
.,o
What,o
times,o
are,o
the,o
movies,o
playing,o
?,o
I,o
want,o
to,o
watch,o
it,o
on,o
March,B-show_date
2nd,I-show_date
.,o
,
How,o
much,o
does,o
the,o
ticket,o
cost,o
and,o
what,o
is,o
the,o
address,o
of,o
the,o
theater,o
?,o
,
Sounds,o
perfect,o
.,o
That,o
's,o
all,o
I,o
need,o
.,o
,
I,o
have,o
n't,o
seen,o
a,o
new,o
movie,o
a,o
months,o
.,o
Can,o
you,o
find,o
me,o
an,o
Imax,o
show,o
in,o
Campbell,B-location
to,o
watch,o
?,o
,
Ooh,o
",",o
Hellboy,B-movie_name
sounds,o
good,o
.,o
,
No,o
",",o
not,o
now,o
.,o
I,o
'm,o
going,o
to,o
do,o
it,o
in,o
person,o
.,o
,
Can,o
you,o
tell,o
me,o
if,o
it,o
's,o
playing,o
on,o
the,B-show_date
2nd,I-show_date
at,o
Pruneyard,B-theater_name
cinemas,I-theater_name
?,o
,
