Sentence,Intent
Can you search for moveis shown SFO. I want to watch at Roxie Theater. Please find some other movies.,INFORM
Jt Leroy is perfect.,SELECT
What time can I watch it ?,INFORM_INTENT
I want to watch a regular show. I want to want it on 3rd of this month.,INFORM
How much is the ticket? What's the address of the theater?,REQUEST
Sounds good.,SELECT
"No, I don't want to purchase now.",NEGATE_INTENT
No. thank you for your help.,NEGATE
"Hey, I'm looking for a movie to watch in Oakland. Is there anything available?",INFORM
Please find some different movies. Any showing is fine.,INFORM
"No, is there anything else?",REQUEST_ALTS
Red Joan is great. When is it showing?,INFORM_INTENT
"March 7th, please.",INFORM
What genre is it? How much does it cost?,REQUEST
Sounds perfect. That's all thanks.,SELECT
"I want to watch a movie, where is the best place to watch?",INFORM_INTENT
I'm currently looking at the Embarcadero Center Cinema. I want to watch a movie on a big imax screen. Can you find some good movies in the San Francisco area?,INFORM
"Yeah, Knock Down The House sounds good. When does this movie start? I want to go see it on the 8th of March.",INFORM
Yeah that will work thanks.,SELECT
I need to find a movie to watch at Roxie Theater.,INFORM
Can you find a movie shown in SFO.,INFORM
Penguin Highway is good and at what time can i watch it?,INFORM_INTENT
I like to watch it on 9th of this month.,INFORM
What is the location of the theater?,REQUEST
What is the cost for the ticket?,REQUEST
sounds cool.,SELECT
"No, i don't want to buy it now.",NEGATE_INTENT
"No, thanks a lot for your help.",NEGATE
I'm searching for a movie to watch at Livermore Cinema.,INFORM
Are you able to find movies playing at Livermore?,INFORM
After sounds great! I plan on watching it on the 2nd of this month. Can you tell me what time is the showing?,INFORM
That sounds just fine.,SELECT
"Not right now, thanks. I'm all set.",NEGATE_INTENT
"Could you help me finding a movie to watch in Union City, please?",INFORM
"could you please find me something else, like a scary movie at Century Union Landing?",INFORM
Curse of La Llorona is perfect. What time can I watch a imax on the 7th,INFORM
"Perfect, that's all I needed",SELECT
I feel like seeing a movie.,INFORM_INTENT
Find me a good flick in SFO.,INFORM
Nah. Find me something regular.,INFORM
Keep going. I'm flexible.,INFORM
Lets go with Say Anything.,INFORM_INTENT
On March 1st.,INFORM
Any other times.,REQUEST_ALTS
No thank you.,NEGATE
I am meeting up with a friend and we want to watch a good movie. Do you have any suggestions?,INFORM_INTENT
"I am in Brentwood, there are a few theaters. What movies are around here?",INFORM
I don't like those options. Show me imax shows.,INFORM
"Shazam! sounds good, the trailer looked cool.",SELECT
No I don't want to buy them now. What are the showtimes at theaters?,INFORM_INTENT
CineLux Delta Cinema Saver is the closest theater I think. I want to see it on March 2nd.,INFORM
Sounds great!,SELECT
No that is all I needed. Thank you.,NEGATE
"I want to find a movie to watch, Can you search for the movies shown in Petaluma?",INFORM
Please find some other movies.,REQUEST_ALTS
Shazam! is perfect.,SELECT
"No, I don't want to purchase now. What time can I watch it? I want to watch a 3d show.",INFORM
I want to watch is on March 4th. I want to watch at Boulevard Cinema,INFORM
Sounds good. That is all I need.,SELECT
I need to find a movie to watch in Livermore. I'd like to see an imax show.,INFORM
Please go with another option.,REQUEST_ALTS
Look for something else. Something regular.,INFORM
I'll see Viva Las Vegas.,SELECT
Not right now. When is it showing at Vine Cinema?,INFORM
I'd like to see it on the 2nd of this month.,INFORM
That sounds great.,SELECT
I'd like to discover a film to watch. Can you search for San Bruno shown films.,INFORM
It is ideal for Captain Marvel.,SELECT
"No, I don't want to buy now.",NEGATE_INTENT
How long can I watch it? Every theater is okay.,INFORM
I'm waiting to see it on 2nd of March .,INFORM
Sounds fine. That's everything I need.,SELECT
"Hi, there! Can you help me find a movie?",INFORM_INTENT
I live in Walnut Creek.,INFORM
I would love to see Captain Marvel!,SELECT
Not right now? I just want to know showtimes on March 2nd.,INFORM
That's great! Thanks for your help!,SELECT
Hi. I want to find a comedy movie to watch at Century Oakridge. Can you help me with that?,INFORM
I'm in San Jose.,INFORM
Little sounds perfect.,SELECT
"No, I don't want to purchase tickets now. But can you tell me when I can see it? I want to see it in 3d next Tuesday.",INFORM
Perfect.,SELECT
"No, thank you!",NEGATE
What movies are showing in San Jose? I really want to go see a movie.,INFORM
I'm not sure I would like any of those. What else is showing?,REQUEST_ALTS
"Nah, those aren't what I'm looking for. What imax shows are out?",INFORM
"Yes, Long Shot would actually be perfect. I forgot that was out. What time is it showing?",INFORM_INTENT
"Oh, sorry. I would like to see it on the 9th of March.",INFORM
That will work for me.,SELECT
"No, I will have to get the tickets later. I might have to do something with my brother that day.",NEGATE_INTENT
"No, that's all I need. Thanks for your help!",NEGATE
I am looking for a movie that I can enjoy tonight.,INFORM_INTENT
"I'm in Union City, can you suggest any movies there?",INFORM
"I'm not really into those, do you know any other good ones?",REQUEST_ALTS
"Those don't sound like my type of movies either, do you know of any others?",REQUEST_ALTS
"Little sounds like a good movie, I've seen the previews.",SELECT
"Not right now, do you know what times it is available?",INFORM_INTENT
I want to watch a regular showing on the 5th.,INFORM
Thank you. Sounds good.,SELECT
"Nope, you've been great, thanks for your help.",NEGATE
I want to watch a movie.,INFORM_INTENT
Can you show me movies shown in Morgan Hill.,INFORM
Breakthrough sounds awesome.,SELECT
"No, I want to watch it on Sunday this week. What times is it showing?",INFORM
What is the cost of the ticket?,REQUEST
What type of movie is it? Where is the theater located?,REQUEST
No. Thank you for your help.,NEGATE
I want to watch a movie in Morgan Hill.,INFORM
No thanks. I like fantasy movies. Can you now search in Campbell?,INFORM
"Yes, Hellboy is good. What time?",INFORM_INTENT
On the 2nd.,INFORM
"That's great, thanks.",SELECT
Im looking to watch a movie that is in 3d.,INFORM
I want to watch the movie at Boulevard Cinema. Can you find movies that are showing in Petaluma? I enjoy comedy movies.,INFORM
The Missing Link is perfect. What times are available for me to watch it?,INFORM_INTENT
I would like to watch the movie on the 4th.,INFORM
That sounds good.,SELECT
No I don't want to purchase tickets right now. That is all that I need.,NEGATE_INTENT
"Hey, I want to go see a movie. Any theater is cool for me.",INFORM
I am in Santa Rosa and want the closest theater. What movies are there now?,INFORM
Are there any other movie choices?,REQUEST_ALTS
"Find some more options, please. I want to see 3rd Street Cinema.",INFORM
"Yes, The Upside is what I want to see then. What are the showtimes for today?",INFORM
What's the address of the theater? What sort of movie is it?,REQUEST
"OK, that's all the info I wanted. Thank you.",SELECT
Can you find me a movie to watch?,INFORM_INTENT
"Brentwood, please. I'd like to watch an Adventure movie at AMC Brentwood.",INFORM
Shazam sounds great!,SELECT
"Not at the moment. I'd like to watch an imax show, what are the available times?",INFORM
"March 2nd, please.",INFORM
"No, thank you.",NEGATE
I would like to find a movie to watch.,INFORM_INTENT
I would like to watch a regular show at the Century at Tanforan. Could you make the search for movies in San Bruno?,INFORM
Little is just what i'm looking for. What time is it playing?,INFORM_INTENT
The 5th of this month would be perfect.,INFORM
How much are the tickets?,REQUEST
"Thanks, sounds good to me.",SELECT
"No, i'm not interested in purchasing just yet.",NEGATE_INTENT
"No, that is all. Thanks for the help.",NEGATE
I al looking for a movie to watch.,INFORM_INTENT
I am looking for a 3d suspense movie in Santa Clara.,INFORM
Pet Sematary is perfect. What time is it showing at AMC Mercado?,INFORM
the 1st please.,INFORM
Sounds good. That's all.,SELECT
It's movie night! I'm trying to decide what to watch. Can you find movies shown in Sonoma?,INFORM
"No, not those. Please find some other titles.",REQUEST_ALTS
Yes! I think Shazam! is just right.,SELECT
"No, not right now. What are the show times for this movie?",INFORM_INTENT
I'd like to see it on March 5th.,INFORM
"Yes, that'll work.",SELECT
"No, that's all for now. Thanks for your help.",NEGATE
I'm looking for a movie to watch tonight. My favorites are scary movies.,INFORM
A theater in Berkeley would be most convenient.,INFORM
The Curse of La Llorona sounds like a movie I'd enjoy.,SELECT
"No, I'm not ready to buy them yet. What times are available?",INFORM_INTENT
I want to go sometime today. I think the United Artists Berkeley would be the closest to where I am.,INFORM
How much do the tickets cost?,REQUEST
"No, I appreciate your help.",NEGATE
Can you find a funny movie for me at AMC Brentwood?,INFORM
Find a 3d movie in Brentwood.,INFORM
Missing Link sounds awesome.,SELECT
"No, not right now. At what time is the show?",INFORM_INTENT
I want to go later today.,INFORM
Is there another show time? I want to watch it on March 2nd.,INFORM
Where is the theater located?,REQUEST
That sounds amazing. I don't need any more hlep.,SELECT
I would like to watch a movie.,INFORM_INTENT
Find movies in Larkspur,INFORM
Shine a Light sounds good.,SELECT
"Not now, what times are available and any theatre is fine.",INFORM
1st of this month,INFORM
What is the cost and type of movie.,REQUEST
Thank you,SELECT
I would like to find a 3d movie to watch.,INFORM
Could you search for movies playing in Union City. Preferably at Century Union Landing.,INFORM
Could you find some other movies?,REQUEST_ALTS
Pet Sematary sounds good.,SELECT
"No, I don't want to buy tickets now. What times are the movies playing? I want to watch it on March 2nd.",INFORM
How much does the ticket cost and what is the address of the theater?,REQUEST
Sounds perfect. That's all I need.,SELECT
I haven't seen a new movie a months. Can you find me an Imax show in Campbell to watch?,INFORM
"Ooh, Hellboy sounds good.",SELECT
"No, not now. I'm going to do it in person.",NEGATE_INTENT
Can you tell me if it's playing on the 2nd at Pruneyard cinemas?,INFORM
What's the genre of Hellboy?,REQUEST
"Cool, I love fantasy. What's the address of the theater, and how much would a ticket cost?",REQUEST
Good looks. You've been a lot of help.,SELECT
"No, that will be all.",NEGATE
"I'm looking for a Comedy to watch in a theatre today, can you help me pick one?",INFORM
I'm in Oakland right now.,INFORM
"Not really - can you find some others? I'd like to go to the New Parkway Theater, a regular show, nothing 3D, they make me queasy.",INFORM
"Yeah, Stockholm sounds good - what times are available?",INFORM_INTENT
I'm thinking the 7th of this month.,INFORM
What's the price of a ticket?,REQUEST
"That's kind of pricy. Alright, what's the address of the theater?",REQUEST
"Okay, yeah, that sounds alright.",SELECT
"Not right now thanks, I don't think I need anything else.",NEGATE_INTENT
I want to go to the movies. Find me a drama,INFORM
In Sebastopol,INFORM
I want to see Hackers on the 7th of this month. What time does it play?,INFORM
Where is that? How much does it cost?,REQUEST
Ok,SELECT
No not now. I'm fine for now.,NEGATE_INTENT
Please find me a movie at a theatre.,INFORM_INTENT
I would like it in San Bruno.,INFORM
I want Captain Marvel.,SELECT
No not yet. What are listed times?,INFORM_INTENT
This Saturday at Century at Tanforan.,INFORM
That sounds good to me.,SELECT
No that is all I need.,NEGATE
Search for movies being shown in Newark.,INFORM
Can you find some other movies at AMC NewPark.,INFORM
"Find some other movies, any type of movie is fine.",INFORM
I want to watch Pet Sematary.,SELECT
"No, I don't want to but tickets right now.",NEGATE_INTENT
What time can I watch the movie on the 2nd?,INFORM
"No, thanks for your help.",NEGATE
My friend and I want to watch a movie at Century Daly City,INFORM
I am in Daly City - can you find Adventure movies for us?,INFORM
Shazam! sounds good! What times are available on the 4th of March?,INFORM
Not at the moment,NEGATE_INTENT
I ant to find a movie to watch.,INFORM_INTENT
I want to watch a imax show for movies in Fremont.And I want to watch at Century at Pacific Commons.,INFORM
I like adventure movies.Please find some other movies.,INFORM
Shazam! is perfect.I want to watch it on Friday next week . What time can I watch it?,INFORM
Sounds good.That is I need.,SELECT
I want to watch a movie,INFORM_INTENT
I am in Vallejo,INFORM
I want to watch Captain Marvel. What time do they have available,INFORM
I want to watch on March 2nd,INFORM
That works,SELECT
No not right now,NEGATE_INTENT
"I'm bored, I think I want to watch something. Can you find me a good movie?",INFORM_INTENT
I'm on Oakland. Can you show me movies from here?,INFORM
I changed my mind. Can you show me regular shows?,INFORM
I choose Little.,SELECT
It's not necessary to buy now. What time on March 1st can I watch it?,INFORM
"I have never seen that movie, what kind is it? What about the address?",REQUEST
Perfect! It is just something that I'm needing.,SELECT
I would like to see a movie.,INFORM_INTENT
Please look for a movie in Emeryville.,INFORM
"No, please look for something else.",REQUEST_ALTS
I'd like to see something else.,REQUEST_ALTS
"Yes, Teen Spirit would be great. What time is an imax showing playing?",INFORM
I want to see the movie on the 1st of this month please.,INFORM
What type of movie is it and what is the price of a ticket?,REQUEST
Great! That's all for now.,SELECT
San Francisco.,INFORM
Body Double sounds good.,SELECT
"No, not right now.",NEGATE_INTENT
What are the show times for it?,INFORM_INTENT
On the 15th.,INFORM
Sounds good. That's all I need.,SELECT
My friend and I are looking to watch a movie later. Can you find movies in Walnut Creek?,INFORM
We would like to see Little. Is there any times available for Tuesday next week?,INFORM
Thank you for your help.,SELECT
Hey! I wish to go to the movies this weekend? Can you find me some good one to watch?,INFORM_INTENT
Please can you look for some good movies in Santa Rosa of Sonoma County?,INFORM
"Not exactly for the debut movies but might for the latest one. Please can you suggest some other movies? If you can find the one shown in Oakland, that would be perfect.",INFORM
"Nope, I would like to watch Funny movies especially a imax show. Please can you find any such movies?",INFORM
"The Gloria Bell, the where she thrusts herself in an unexpected romance filled with joys of love, right? Perfect! At what time is the show?",INFORM_INTENT
I will be available on March 9th. That day would work.,INFORM
Please choose 4 pm. That sounds good.,SELECT
"Nope, I don't need it right now.",NEGATE_INTENT
"Nope, thanks much.",NEGATE
"I feel, I need to watch a movie now to relax, can you help me in this?",INFORM_INTENT
"in Pleasant Hill, Is there any nice movie you can find here?",INFORM
"may be Little, I think which is perfect.",SELECT
"No, not now",NEGATE_INTENT
"Yes, I need to clarify, at what time, I can watch this movie on 2nd of this month.",INFORM
Let me know the address of the theater along with ticket cost.,REQUEST
"Yes, that is Okay, that's all, thanks.",SELECT
I'm in Brentwood,INFORM
Okay. I would like to see some other choices.,REQUEST_ALTS
Long Shot sounds perfect. What are the show times? I would like to watch a 3d show.,INFORM
I prefer the 1st of March.,INFORM
What is the genre of this movie. How much is the ticket?,REQUEST
Terrific. That's all I need for now.,SELECT
I am looking for a movie to watch. Can you find movies that are showing in Morgan Hill?,INFORM
Please look for other movies. Are you able to do a search for movies in Emeryville? I would like to see something in IMax.,INFORM
Can you find other movies?,REQUEST_ALTS
Teen Spirit will be perfect. What time will I be able to watch it? I would like to see it at AMC Bay Street?,INFORM
I would like to see it today?,INFORM
That sounds fine.,SELECT
"No, I'm not ready to buy right now. That was all I wanted.",NEGATE_INTENT
I'd like to watch a movie.,INFORM_INTENT
Can you search around Sebastopol?,INFORM
Can I have some more options? And can you search in Union City?,INFORM
No. Can I have some more?,REQUEST_ALTS
Hellboy is good. What time?,INFORM_INTENT
9th of March.,INFORM
That's great. Thanks.,SELECT
I feel like watching a movie.,INFORM_INTENT
I'm in Berkeley. Any good movies here?,INFORM
Captain Marvel sounds great.,SELECT
"Nah, not right now. What time is Captain Marvel playing?",INFORM_INTENT
I would like to go today.,INFORM
That is perfect.,SELECT
"No, that's all. Thanks.",NEGATE
I'd like to see a movie at Century Rowland Plaza.,INFORM
I'd like to see an imax movie in Novato.,INFORM
Captain Marvel works great. What time is the showing?,INFORM_INTENT
I'd like to see it on March 1st.,INFORM
What's the address of the theatre and how much is the ticket?,REQUEST
"Perfect, that's what I was looking for.",SELECT
I want to find a movie to watch,INFORM_INTENT
Can you search in Brentwood.,INFORM
Please find some other movies in San Ramon. Any theatre is fine.,INFORM
"I want to watch 3d show, pls find other movies",INFORM
Teen Spirit is perfect.,SELECT
No. I want to watch on 2nd of March. What time can i watch?,INFORM
Yes. Good,SELECT
No. Thanks a lot,NEGATE
Can you find me a movie to watch at CineLux Tennant Station,INFORM
Look for movies in Morgan Hill,INFORM
Captain Marvel sounds perf. What Time can I watch? I want a regular show time,INFORM
On march 7th.,INFORM
How much is it gonna cost?,REQUEST
"That's good then, that's all I need",SELECT
I'd like to a show. Can you help me find a 3d movie near me?,INFORM
I'm in Cloverdale.,INFORM
"Perfect, I've been meaning to see Hellboy.",SELECT
"Another time, please. What are the times available for it?",INFORM_INTENT
I'd like to see it on the 2nd.,INFORM
That sounds perfect!,SELECT
"No, that's all. Thank you for your help!",NEGATE
I feel like watching a movie. What's available in San Jose?,INFORM
Can you search for other ones? Something at CineLux Almaden.,INFORM
Please search for other ones.,REQUEST_ALTS
The Curse of La Llorona is great. What time is it available in March 5th?,INFORM
What's their address and how much is the ticket?,REQUEST
Awesome. That's all I need.,SELECT
"This week, I have a lot to do and meeting to attend. I think I'll deserve some time to relax and watch a movie, something I could really use your help choosing. I want to see a Non-fiction movie that I can watch on imax. You have any ideas for me?",INFORM
Please recommend a movie that's showing in San Bruno.,INFORM
"Breakthrough, huh? That's very fitting.",SELECT
"No, thanks. Let's wait on purchasing tickets.",NEGATE_INTENT
"Oh, yes. What time does the movie start?",INFORM_INTENT
Please set the date for the 8th of March.,INFORM
Great. I'll take that.,SELECT
"No, I guess that's all I need for now. Thanks mucho.",NEGATE
Im looking for a movie.,INFORM_INTENT
I want to find movies in San Ramon.,INFORM
Is there anything else/,REQUEST_ALTS
Please find something else.,REQUEST_ALTS
The Curse of La Llorona sounds good. When can i see it?,INFORM_INTENT
I want to see it on Saturday this week.,INFORM
Whats the address?,REQUEST
"Awesome, Thats what i need",SELECT
What's the address for Cinelux Tennant Station?,INFORM
Do you know which movies are showing in Morgan Hill?,INFORM
Are there any other movies option?,REQUEST_ALTS
I would like to watch Hellboy.,SELECT
Is there a imax show nearby?,INFORM
March 2nd is perfect for me.,INFORM
Thank you for your help. Have a nice day.,SELECT
I want to watch a movie in San Francisco.,INFORM
Find some comic movies. I want to watch at United Artists Stonestown Twin.,INFORM
Family is Perfect. When is the show?,INFORM_INTENT
I want to watch tomorrow.,INFORM
How much is the ticket and what is the address?,REQUEST
Yeah. Sounds good. Thank you,SELECT
I am looking for a movie.,INFORM_INTENT
Look for movies shown in SFO.,INFORM
I want to watch Ash Is Purest White?,SELECT
No. What time is it showing?,INFORM_INTENT
I want to watch it at Embarcadero Center Cinema on the 2nd of this month.,INFORM
How much is the ticket? What is the genere?,REQUEST
Thanks.,SELECT
"A fun movie is on the agenda for our upcoming family night out. It's kind of a big deal because we're still celebrating graduation, and we want to see a movie that's 3d, lighthearted and rated for all ages. What's your take on a movie recommendation, please?",INFORM
"How about a search in San Ramon. Any kind of movie is fine, just as long as it's fun.",INFORM
"I'll go with Dumbo. That's a perfect choice. What time does that movie start, please?",INFORM_INTENT
"Okay, I expect we'll go see the movie on the 5th at THE LOT City Center.",INFORM
"Beautiful. Now, what address do you have for the theater?",REQUEST
Fantastic.,SELECT
"No, I'm not ready to get the tickets yet. You've helped me with what I need for now. Thanks so much.",NEGATE_INTENT
I am planning to watch a movie. Can you help me find some?,INFORM_INTENT
I want movies shown in Union City.,INFORM
Can you still find some other movies?,REQUEST_ALTS
Dumbo is a good one. What time is that available to watch?,INFORM_INTENT
I prefer tomorrow at Century Union Landing. Whatever type of show is absolutely fine.,INFORM
May I know the address of the theater and the kind of movie it is?,REQUEST
Is there any other time for the availability of that movie?,REQUEST_ALTS
I've got all I want. Thanks a lot.,NEGATE
I am looking for movie tickets.,INFORM_INTENT
Search for movies in SFO please.,INFORM
Can you find some other movies? I like the War genre.,INFORM
Aftermath sounds great! What are the showtimes for IMAX showings?,INFORM
I want to see it on the 1st.,INFORM
How much does it cost and what is the address of the theatre?,REQUEST
I'd like to find a movie to watch.,INFORM_INTENT
Can you help me find movies in Oakland?,INFORM
Dr. Strangelove sounds great.,SELECT
"Not right now, but when are the showtimes?",INFORM_INTENT
I'd like to see it at New Parkway Theater on the 10th of March.,INFORM
What genre of movie is it?,REQUEST
"Awesome, sounds great.",SELECT
A movie will help me overcome the monotonous of the day. Is there any good movie?,INFORM_INTENT
It will be fine in SFO,INFORM
Look for any other movies,REQUEST_ALTS
"Try some other particularly in Vallejo, imax show.",INFORM
"Thats great, Hellboy will do. Show time please",INFORM_INTENT
On 2nd of March.,INFORM
Do you know the genre of movie and fare of ticket.,REQUEST
Is there any other show time for that.,REQUEST_ALTS
"Yeah, I have changed the date to March 1st and at Century Vallejo.",INFORM
"Great, that will be fine.",SELECT
Find theaters playing 3D movies in San Jose.,INFORM
Find Drama movies on imax.,INFORM
When is The Mustang playing?,INFORM_INTENT
This Saturday.,INFORM
"Sounds good, that's all I need.",SELECT
I am going to watch a movie at the Piedmont Theatre,INFORM
Have you tried searching for movies in Oakland,INFORM
The movie Red Joan is a perfect movie,SELECT
I will purchase a ticket later what time will be good so I can watch a imax show,INFORM
How about the 7th of March,INFORM
Is the movie playing at some other time?,REQUEST_ALTS
"No, Thanks you for your help",NEGATE
I'd like to catch a movie.,INFORM_INTENT
What are some flicks in Oakland?,INFORM
"Dr. Strangelove sounds good. I don't care about the theater, but what times are available?",INFORM
I'd like to catch it on the 10th.,INFORM
Where's the theater at?,REQUEST
What genre is the flick?,REQUEST
"Awesome, thanks. That'll be everything.",SELECT
Search for movies only shown in Vacaville.,INFORM
Try some different movies?,REQUEST_ALTS
Try to find movies shown in Albany.,INFORM
"Red Joan is good, what time is playing?",INFORM_INTENT
On the 5th at Albany Twin will be good.,INFORM
Tell the genre of movie it is?,REQUEST
Good.,SELECT
Not at the present time.,NEGATE_INTENT
Thank you that will be all.,NEGATE
"I'd like to see a movie, can you find me one?",INFORM_INTENT
Please find a movie in San Francisco.,INFORM
Ash Is Purest White would be great.,SELECT
"No thanks, I don't need them right now. What time is it on?",INFORM_INTENT
Please check the showtimes for this Saturday.,INFORM
Is it on at any other times? I'd actually like to go to the Embarcadero Center Cinema.,INFORM
What's the address? And how much does it cost?,REQUEST
"That's great, that'll be all for today.",SELECT
I need the movies being shown in Brentwood.,INFORM
"No, something else. An imax show is what I am looking for.",INFORM
Shazam! sounds like the perfect movie.,SELECT
"No, don't buy them now.",NEGATE_INTENT
Tell me the show timings. What time can I watch it?,INFORM_INTENT
I am planning to watch it on March 2nd.,INFORM
"No, that would be all. Thanks so much.",NEGATE
Find me a theater to go see a movie,INFORM_INTENT
Search for movies at Menlo Park.,INFORM
"Red Joan sounds good, what time is it at?",INFORM_INTENT
I would like to see it March 9th.,INFORM
Is it available at another time? How about on March 4th?,INFORM
"Thanks, that is all.",SELECT
Find movies in SF.,INFORM
What other movies are there?,REQUEST_ALTS
Citizen Kane sounds good.,SELECT
"No, what time is it playing?",INFORM_INTENT
"I want a 3D showing, on March 2nd, at the Vogue Theatre.",INFORM
"No that's all, thank you for your help.",NEGATE
I wish to see a move at AMC NewPark.,INFORM
Kindly find a movie in Newark.,INFORM
Could you please search for some other movies? I wish to see a Fantasy movie at imax show.,INFORM
Hellboy is a good movie.,SELECT
Which time would you like to see the movie?,INFORM_INTENT
I wish to see it on the 1st.,INFORM
It is great. That is what I want.,SELECT
Can you search a comic movie for me?,INFORM
"I am in Santa Clara, can you search here?",INFORM
"Long shot is good, let me know the time of movie.",INFORM_INTENT
search for March 11th.,INFORM
and what is the ticket cost?,REQUEST
get the address of that theater,REQUEST
That's perfect. Thanks.,SELECT
I would like to watch a horror movie.,INFORM
Search for movies in San Jose area,INFORM
The Curse of La Llorona sounds great.,SELECT
"No I will purchase another day, what times are available?",INFORM_INTENT
Tuesday next week would be best,INFORM
Sounds great.,SELECT
"No that is all, Thanks.",NEGATE
I'm looking for a movie to see.,INFORM_INTENT
Can you find movies in Martinez?,INFORM
Long Shot will work. What time is that?,INFORM_INTENT
The 9th of this month and I would like a regular show.,INFORM
What other times are there?,REQUEST_ALTS
"I don't think so, thank you.",NEGATE
I would like to go to Vine Cinema in Livermore.,INFORM
High Life will be perfect.,SELECT
"No, not right now. What are the showtimes?",INFORM_INTENT
I would like to watch it on the 3rd.,INFORM
"No, thank you for your help.",NEGATE
I'm going out with a friend today and I would like to find a movie to watch.,INFORM_INTENT
"I would like to search for movies in Santa Rosa, please.",INFORM
I hear the movie After is getting great reviews. What are the showtimes?,INFORM_INTENT
I would like to watch the movie at any theater today.,INFORM
Can you give me the address to the theater?,REQUEST
Do you know what genre the movie is?,REQUEST
"Perfect, I'm in the mood for Romance.",SELECT
"No, I will wait to confirm with my friend before purchasing tickets.",NEGATE_INTENT
"No, that is everything for today. Thank you for your time.",NEGATE
I want to find a movie to watch.,INFORM_INTENT
I want movies in Vacaville.,INFORM
Hellboy sounds good.,SELECT
Not right now. What time can I see the show? I want to watch a regular show.,INFORM
I want to watch it tomorrow.,INFORM
"What's the theater address, and what's the type of move?",REQUEST
"Thanks, that's all I need.",SELECT
I'd like to find a movie to watch at Century San Francisco Centre.,INFORM
Help me find movies showing in San Francisco.,INFORM
Can you help me find some other movies?,REQUEST_ALTS
Not right now. What times were available?,INFORM_INTENT
How about next Thursday?,INFORM
Where is the theatre and how much is the ticket?,REQUEST
Great.,SELECT
No. Thank you.,NEGATE
Can you find me a movie?,INFORM_INTENT
In Vacaville please,INFORM
No I want something else. What's playing in San Bruno. I don't care which theater.,INFORM
None of those sound good,REQUEST_ALTS
Yes. When can I see Teen Spirit,INFORM_INTENT
On the 2nd of this month. Does it come in imax?,INFORM
How much does that cost? Where's the theater?,REQUEST
Not right now thanks,NEGATE_INTENT
No thanks,NEGATE
The Redwood City,INFORM
after is perfect,SELECT
the Century Redwood city the March 1st,INFORM
the answer is below,REQUEST
the good sounds,SELECT
"San Rafael, please. I'd like to see a Drama movie.",INFORM
High Life sounds good. What are the available times?,INFORM_INTENT
"March 1st, please.",INFORM
Sounds good to me.,SELECT
"No, not at the moment. Thank you, that will be all.",NEGATE_INTENT
Where do I find a movie to watch?,INFORM_INTENT
Can you search Larkspur for Drama movies?,INFORM
"Lets go see Transit, What time is it? Ill go to any theater.",INFORM
Next Tuesday is when i want to see it.,INFORM
Where is the theater and how much is it?,REQUEST
